year,city,city_average_temp,global_average_temp,moving_city_average_temp,moving_global_average_temp
1980,Copenhagen,7.54,8.98,7.7861904761904762,8.2334199134199134
1981,Copenhagen,7.80,9.17,7.7862500000000000,8.2374568965517241
1982,Copenhagen,8.55,8.64,7.7895278969957082,8.2391845493562232
1983,Copenhagen,8.89,9.03,7.7942307692307692,8.2425641025641026
1984,Copenhagen,8.36,8.69,7.7966382978723404,8.2444680851063830
1985,Copenhagen,6.99,8.66,7.7932203389830508,8.2462288135593220
1986,Copenhagen,7.52,8.83,7.7920675105485232,8.2486919831223629
1987,Copenhagen,6.98,8.99,7.7886554621848739,8.2518067226890756
1988,Copenhagen,8.91,9.20,7.7933472803347280,8.2557740585774059
1989,Copenhagen,9.66,8.92,7.8011250000000000,8.2585416666666667
1990,Copenhagen,9.83,9.23,7.8095435684647303,8.2625726141078838
1991,Copenhagen,8.62,9.18,7.8128925619834711,8.2663636363636364
1992,Copenhagen,9.47,8.84,7.8197119341563786,8.2687242798353909
1993,Copenhagen,8.16,8.87,7.8211065573770492,8.2711885245901639
1994,Copenhagen,9.15,9.04,7.8265306122448980,8.2743265306122449
1995,Copenhagen,8.75,9.35,7.8302845528455285,8.2786991869918699
1996,Copenhagen,7.31,9.04,7.8281781376518219,8.2817813765182186
1997,Copenhagen,8.91,9.20,7.8325403225806452,8.2854838709677419
1998,Copenhagen,8.65,9.52,7.8358232931726908,8.2904417670682731
1999,Copenhagen,9.37,9.29,7.8419600000000000,8.2944400000000000
2000,Copenhagen,9.67,9.20,7.8492430278884462,8.2980478087649402
2001,Copenhagen,8.78,9.41,7.8529365079365079,8.3024603174603175
2002,Copenhagen,9.54,9.57,7.8596047430830040,8.3074703557312253
2003,Copenhagen,9.05,9.53,7.8642913385826772,8.3122834645669291
2004,Copenhagen,9.00,9.32,7.8687450980392157,8.3162352941176471
2005,Copenhagen,9.11,9.70,7.8735937500000000,8.3216406250000000
2006,Copenhagen,9.74,9.53,7.8808560311284047,8.3263424124513619
2007,Copenhagen,9.87,9.73,7.8885658914728682,8.3317829457364341
2008,Copenhagen,9.82,9.43,7.8960231660231660,8.3360231660231660
2009,Copenhagen,9.22,9.51,7.9011153846153846,8.3405384615384615
