year,city,city_average_temp,global_average_temp,moving_city_average_temp,moving_global_average_temp
1846,Chicago,11.29,8.55,9.6919000000000000,8.0341237113402062
1847,Chicago,9.23,8.09,9.6873267326732673,8.0346938775510204
1848,Chicago,9.77,7.98,9.6881372549019608,8.0341414141414141
1849,Chicago,9.34,7.98,9.6847572815533981,8.0336000000000000
1850,Chicago,9.89,7.90,9.6867307692307692,8.0322772277227723
1851,Chicago,10.17,8.18,9.6913333333333333,8.0337254901960784
1852,Chicago,9.82,8.10,9.6925471698113208,8.0343689320388350
1853,Chicago,10.21,8.04,9.6973831775700935,8.0344230769230769
1854,Chicago,10.96,8.21,9.7090740740740741,8.0360952380952381
1855,Chicago,9.71,8.11,9.7090825688073394,8.0367924528301887
1856,Chicago,8.66,8.00,9.6995454545454545,8.0364485981308411
1857,Chicago,8.76,7.76,9.6910810810810811,8.0338888888888889
1858,Chicago,10.53,8.10,9.6985714285714286,8.0344954128440367
1859,Chicago,9.76,8.25,9.6991150442477876,8.0364545454545455
1860,Chicago,9.75,7.96,9.6995614035087719,8.0357657657657658
1861,Chicago,9.62,7.85,9.6988695652173913,8.0341071428571429
1862,Chicago,9.36,7.56,9.6959482758620690,8.0299115044247788
1863,Chicago,9.73,8.11,9.6962393162393162,8.0306140350877193
1864,Chicago,9.35,7.98,9.6933050847457627,8.0301739130434783
1865,Chicago,9.92,8.18,9.6952100840336134,8.0314655172413793
1866,Chicago,9.05,8.29,9.6898333333333333,8.0336752136752137
1867,Chicago,9.43,8.44,9.6876859504132231,8.0371186440677966
1868,Chicago,8.88,8.25,9.6810655737704918,8.0389075630252101
1869,Chicago,8.73,8.43,9.6733333333333333,8.0421666666666667
1870,Chicago,10.55,8.20,9.6804032258064516,8.0434710743801653
1871,Chicago,9.91,8.12,9.6822400000000000,8.0440983606557377
1872,Chicago,8.72,8.19,9.6746031746031746,8.0452845528455285
1873,Chicago,8.84,8.35,9.6680314960629921,8.0477419354838710
1874,Chicago,10.18,8.43,9.6720312500000000,8.0508000000000000
1875,Chicago,7.80,7.86,9.6575193798449612,8.0492857142857143
1876,Chicago,9.69,8.08,9.6577692307692308,8.0495275590551181
1877,Chicago,10.68,8.54,9.6655725190839695,8.0533593750000000
1878,Chicago,11.31,8.83,9.6780303030303030,8.0593798449612403
1879,Chicago,10.11,8.17,9.6812781954887218,8.0602307692307692
1880,Chicago,10.46,8.12,9.6870895522388060,8.0606870229007634
1881,Chicago,10.25,8.27,9.6912592592592593,8.0622727272727273
1882,Chicago,10.38,8.13,9.6963235294117647,8.0627819548872180
1883,Chicago,8.42,7.98,9.6870072992700730,8.0621641791044776
1884,Chicago,9.35,7.77,9.6845652173913043,8.0600000000000000
1885,Chicago,7.96,7.92,9.6721582733812950,8.0589705882352941
1886,Chicago,9.40,7.95,9.6702142857142857,8.0581751824817518
1887,Chicago,9.64,7.91,9.6700000000000000,8.0571014492753623
1888,Chicago,8.74,8.09,9.6634507042253521,8.0573381294964029
1889,Chicago,10.02,8.32,9.6659440559440559,8.0592142857142857
1890,Chicago,10.21,7.97,9.6697222222222222,8.0585815602836879
1891,Chicago,10.29,8.02,9.6740000000000000,8.0583098591549296
1892,Chicago,9.21,8.07,9.6708219178082192,8.0583916083916084
1893,Chicago,8.91,8.06,9.6656462585034014,8.0584027777777778
1894,Chicago,10.79,8.16,9.6732432432432432,8.0591034482758621
1895,Chicago,9.32,8.15,9.6708724832214765,8.0597260273972603
